지역,신재생에너지 종류,연도,생산량(toe)
서울,태양열,2020,621
부산,태양열,2020,732
대구,태양열,2020,837
인천,태양열,2020,616
광주,태양열,2020,568
대전,태양열,2020,616
울산,태양열,2020,331
세종,태양열,2020,116
경기,태양열,2020,2433
강원,태양열,2020,2848
충북,태양열,2020,1290
충남,태양열,2020,2288
전북,태양열,2020,1248
전남,태양열,2020,3074
경북,태양열,2020,4163
경남,태양열,2020,3931
제주,태양열,2020,336
서울,태양광,2020,51584
부산,태양광,2020,49938
대구,태양광,2020,37493
인천,태양광,2020,42122
광주,태양광,2020,63325
대전,태양광,2020,20566
울산,태양광,2020,27380
세종,태양광,2020,18649
경기,태양광,2020,314446
강원,태양광,2020,302800
충북,태양광,2020,241466
충남,태양광,2020,531816
전북,태양광,2020,694095
전남,태양광,2020,850720
경북,태양광,2020,497421
경남,태양광,2020,315560
제주,태양광,2020,105775
서울,풍력,2020,47
부산,풍력,2020,56
대구,풍력,2020,6
인천,풍력,2020,11255
광주,풍력,2020,0
대전,풍력,2020,91
울산,풍력,2020,323
세종,풍력,2020,0
경기,풍력,2020,1202
강원,풍력,2020,166671
충북,풍력,2020,6
충남,풍력,2020,640
전북,풍력,2020,27948
전남,풍력,2020,122787
경북,풍력,2020,201093
경남,풍력,2020,15828
제주,풍력,2020,123154
서울,수력,2020,237
부산,수력,2020,21
대구,수력,2020,2759
인천,수력,2020,8431
광주,수력,2020,1660
대전,수력,2020,55
울산,수력,2020,310
세종,수력,2020,0
경기,수력,2020,138452
강원,수력,2020,226264
충북,수력,2020,215136
충남,수력,2020,13122
전북,수력,2020,60872
전남,수력,2020,24308
경북,수력,2020,67950
경남,수력,2020,66040
제주,수력,2020,728
서울,해양,2020,0
부산,해양,2020,0
대구,해양,2020,0
인천,해양,2020,0
광주,해양,2020,0
대전,해양,2020,0
울산,해양,2020,0
세종,해양,2020,0
경기,해양,2020,97396
강원,해양,2020,0
충북,해양,2020,0
충남,해양,2020,0
전북,해양,2020,0
전남,해양,2020,0
경북,해양,2020,0
경남,해양,2020,0
제주,해양,2020,1
서울,열에너지,2020,16451
부산,열에너지,2020,3026
대구,열에너지,2020,7441
인천,열에너지,2020,8640
광주,열에너지,2020,3753
대전,열에너지,2020,5281
울산,열에너지,2020,4196
세종,열에너지,2020,14910
경기,열에너지,2020,52502
강원,열에너지,2020,20352
충북,열에너지,2020,12171
충남,열에너지,2020,22473
전북,열에너지,2020,21819
전남,열에너지,2020,30767
경북,열에너지,2020,17914
경남,열에너지,2020,19272
제주,열에너지,2020,3615
서울,바이오,2020,91892
부산,바이오,2020,57336
대구,바이오,2020,77835
인천,바이오,2020,166108
광주,바이오,2020,25826
대전,바이오,2020,28511
울산,바이오,2020,372251
세종,바이오,2020,24117
경기,바이오,2020,444247
강원,바이오,2020,397513
충북,바이오,2020,97780
충남,바이오,2020,543873
전북,바이오,2020,900217
전남,바이오,2020,73455
경북,바이오,2020,94521
경남,바이오,2020,169316
제주,바이오,2020,334375
서울,화력에너지,2020,69519
부산,화력에너지,2020,38974
대구,화력에너지,2020,21793
인천,화력에너지,2020,49071
광주,화력에너지,2020,1992
대전,화력에너지,2020,28363
울산,화력에너지,2020,85835
세종,화력에너지,2020,7547
경기,화력에너지,2020,241528
강원,화력에너지,2020,179556
충북,화력에너지,2020,152904
충남,화력에너지,2020,552447
전북,화력에너지,2020,52645
전남,화력에너지,2020,84735
경북,화력에너지,2020,35074
경남,화력에너지,2020,56979
제주,화력에너지,2020,13411
서울,연료전지,2020,72749
부산,연료전지,2020,39280
대구,연료전지,2020,1710
인천,연료전지,2020,203105
광주,연료전지,2020,739
대전,연료전지,2020,7141
울산,연료전지,2020,3002
세종,연료전지,2020,8465
경기,연료전지,2020,262648
강원,연료전지,2020,10479
충북,연료전지,2020,141
충남,연료전지,2020,97628
전북,연료전지,2020,1850
전남,연료전지,2020,35819
경북,연료전지,2020,6890
경남,연료전지,2020,4198
제주,연료전지,2020,44
서울,태양열,2021,561
부산,태양열,2021,686
대구,태양열,2021,738
인천,태양열,2021,577
광주,태양열,2021,540
대전,태양열,2021,570
울산,태양열,2021,307
세종,태양열,2021,109
경기,태양열,2021,2305
강원,태양열,2021,2684
충북,태양열,2021,1345
충남,태양열,2021,2132
전북,태양열,2021,1215
전남,태양열,2021,3296
경북,태양열,2021,4298
경남,태양열,2021,3899
제주,태양열,2021,306
서울,태양광,2021,55298
부산,태양광,2021,58882
대구,태양광,2021,44631
인천,태양광,2021,49014
광주,태양광,2021,70029
대전,태양광,2021,23997
울산,태양광,2021,32384
세종,태양광,2021,20576
경기,태양광,2021,384178
강원,태양광,2021,393308
충북,태양광,2021,304063
충남,태양광,2021,663622
전북,태양광,2021,905410
전남,태양광,2021,1112350
경북,태양광,2021,659785
경남,태양광,2021,394225
제주,태양광,2021,145474
서울,풍력,2021,45
부산,풍력,2021,15
대구,풍력,2021,6
인천,풍력,2021,8415
광주,풍력,2021,1
대전,풍력,2021,87
울산,풍력,2021,372
세종,풍력,2021,0
경기,풍력,2021,998
강원,풍력,2021,201821
충북,풍력,2021,11
충남,풍력,2021,437
전북,풍력,2021,31080
전남,풍력,2021,111982
경북,풍력,2021,194906
경남,풍력,2021,14551
제주,풍력,2021,112780
서울,수력,2021,132
부산,수력,2021,9
대구,수력,2021,3092
인천,수력,2021,8765
광주,수력,2021,1753
대전,수력,2021,59
울산,수력,2021,244
세종,수력,2021,0
경기,수력,2021,134900
강원,수력,2021,151904
충북,수력,2021,155715
충남,수력,2021,12205
전북,수력,2021,50892
전남,수력,2021,18346
경북,수력,2021,62247
경남,수력,2021,50280
제주,수력,2021,685
서울,해양,2021,0
부산,해양,2021,0
대구,해양,2021,0
인천,해양,2021,0
광주,해양,2021,0
대전,해양,2021,0
울산,해양,2021,0
세종,해양,2021,0
경기,해양,2021,96907
강원,해양,2021,0
충북,해양,2021,0
충남,해양,2021,0
전북,해양,2021,0
전남,해양,2021,3
경북,해양,2021,0
경남,해양,2021,0
제주,해양,2021,1
서울,열에너지,2021,17918
부산,열에너지,2021,3150
대구,열에너지,2021,8395
인천,열에너지,2021,8823
광주,열에너지,2021,3835
대전,열에너지,2021,5807
울산,열에너지,2021,4414
세종,열에너지,2021,15683
경기,열에너지,2021,55360
강원,열에너지,2021,22146
충북,열에너지,2021,13121
충남,열에너지,2021,23701
전북,열에너지,2021,22558
전남,열에너지,2021,32765
경북,열에너지,2021,19115
경남,열에너지,2021,19860
제주,열에너지,2021,3698
서울,바이오,2021,81856
부산,바이오,2021,51370
대구,바이오,2021,103172
인천,바이오,2021,153890
광주,바이오,2021,20475
대전,바이오,2021,26553
울산,바이오,2021,355707
세종,바이오,2021,30497
경기,바이오,2021,426130
강원,바이오,2021,539973
충북,바이오,2021,62300
충남,바이오,2021,680646
전북,바이오,2021,1053063
전남,바이오,2021,71578
경북,바이오,2021,96082
경남,바이오,2021,164483
제주,바이오,2021,345800
서울,화력에너지,2021,76416
부산,화력에너지,2021,36856
대구,화력에너지,2021,21454
인천,화력에너지,2021,47195
광주,화력에너지,2021,1400
대전,화력에너지,2021,26441
울산,화력에너지,2021,95826
세종,화력에너지,2021,8340
경기,화력에너지,2021,253804
강원,화력에너지,2021,215346
충북,화력에너지,2021,149498
충남,화력에너지,2021,506484
전북,화력에너지,2021,50321
전남,화력에너지,2021,65850
경북,화력에너지,2021,36512
경남,화력에너지,2021,57968
제주,화력에너지,2021,15112
서울,연료전지,2021,93510
부산,연료전지,2021,62548
대구,연료전지,2021,3177
인천,연료전지,2021,319009
광주,연료전지,2021,1039
대전,연료전지,2021,8453
울산,연료전지,2021,11857
세종,연료전지,2021,9338
경기,연료전지,2021,309670
강원,연료전지,2021,31596
충북,연료전지,2021,11721
충남,연료전지,2021,96557
전북,연료전지,2021,2409
전남,연료전지,2021,48881
경북,연료전지,2021,7774
경남,연료전지,2021,5503
제주,연료전지,2021,89
서울,태양열,2022,503
부산,태양열,2022,617
대구,태양열,2022,647
인천,태양열,2022,543
광주,태양열,2022,519
대전,태양열,2022,527
울산,태양열,2022,277
세종,태양열,2022,101
경기,태양열,2022,2207
강원,태양열,2022,2492
충북,태양열,2022,1288
충남,태양열,2022,2079
전북,태양열,2022,1215
전남,태양열,2022,3532
경북,태양열,2022,4328
경남,태양열,2022,3873
제주,태양열,2022,279
서울,태양광,2022,65697
부산,태양광,2022,71015
대구,태양광,2022,55601
인천,태양광,2022,57128
광주,태양광,2022,84614
대전,태양광,2022,30136
울산,태양광,2022,38903
세종,태양광,2022,24538
경기,태양광,2022,464713
강원,태양광,2022,468677
충북,태양광,2022,369737
충남,태양광,2022,792320
전북,태양광,2022,1183907
전남,태양광,2022,1364272
경북,태양광,2022,875924
경남,태양광,2022,492688
제주,태양광,2022,169517
서울,풍력,2022,46
부산,풍력,2022,16
대구,풍력,2022,6
인천,풍력,2022,8263
광주,풍력,2022,2
대전,풍력,2022,88
울산,풍력,2022,54
세종,풍력,2022,0
경기,풍력,2022,959
강원,풍력,2022,203379
충북,풍력,2022,17
충남,풍력,2022,456
전북,풍력,2022,34440
전남,풍력,2022,124776
경북,풍력,2022,194644
경남,풍력,2022,28436
제주,풍력,2022,122284
서울,수력,2022,81
부산,수력,2022,55
대구,수력,2022,3188
인천,수력,2022,6481
광주,수력,2022,1335
대전,수력,2022,28
울산,수력,2022,93
세종,수력,2022,0
경기,수력,2022,152857
강원,수력,2022,249064
충북,수력,2022,175602
충남,수력,2022,11157
전북,수력,2022,45345
전남,수력,2022,11936
경북,수력,2022,50805
경남,수력,2022,46485
제주,수력,2022,606
서울,해양,2022,0
부산,해양,2022,0
대구,해양,2022,0
인천,해양,2022,0
광주,해양,2022,0
대전,해양,2022,0
울산,해양,2022,0
세종,해양,2022,0
경기,해양,2022,90278
강원,해양,2022,0
충북,해양,2022,0
충남,해양,2022,0
전북,해양,2022,0
전남,해양,2022,1
경북,해양,2022,0
경남,해양,2022,0
제주,해양,2022,0
서울,열에너지,2022,20088
부산,열에너지,2022,3683
대구,열에너지,2022,9877
인천,열에너지,2022,10069
광주,열에너지,2022,3914
대전,열에너지,2022,7025
울산,열에너지,2022,4856
세종,열에너지,2022,16258
경기,열에너지,2022,60135
강원,열에너지,2022,24766
충북,열에너지,2022,14163
충남,열에너지,2022,26048
전북,열에너지,2022,24721
전남,열에너지,2022,34549
경북,열에너지,2022,21298
경남,열에너지,2022,21018
제주,열에너지,2022,3726
서울,바이오,2022,89647
부산,바이오,2022,58160
대구,바이오,2022,73361
인천,바이오,2022,167582
광주,바이오,2022,22761
대전,바이오,2022,25098
울산,바이오,2022,286450
세종,바이오,2022,35240
경기,바이오,2022,431014
강원,바이오,2022,481691
충북,바이오,2022,71941
충남,바이오,2022,767937
전북,바이오,2022,1178969
전남,바이오,2022,83502
경북,바이오,2022,102072
경남,바이오,2022,124747
제주,바이오,2022,372699
서울,화력에너지,2022,69477
부산,화력에너지,2022,32952
대구,화력에너지,2022,33895
인천,화력에너지,2022,49723
광주,화력에너지,2022,1387
대전,화력에너지,2022,33304
울산,화력에너지,2022,103624
세종,화력에너지,2022,5414
경기,화력에너지,2022,251332
강원,화력에너지,2022,241538
충북,화력에너지,2022,174966
충남,화력에너지,2022,459056
전북,화력에너지,2022,47277
전남,화력에너지,2022,70007
경북,화력에너지,2022,33129
경남,화력에너지,2022,58631
제주,화력에너지,2022,10218
서울,연료전지,2022,71483
부산,연료전지,2022,69911
대구,연료전지,2022,3238
인천,연료전지,2022,287034
광주,연료전지,2022,13906
대전,연료전지,2022,18427
울산,연료전지,2022,46201
세종,연료전지,2022,8605
경기,연료전지,2022,329301
강원,연료전지,2022,58819
충북,연료전지,2022,43942
충남,연료전지,2022,104136
전북,연료전지,2022,23713
전남,연료전지,2022,62277
경북,연료전지,2022,6308
경남,연료전지,2022,6142
제주,연료전지,2022,88
